¿Cuál es el período orbital del exoplaneta Proxima Centauri b?,"11,2 días."
El sistema planetario conocido por tener siete planetas de tamaño similar a la Tierra es _____.,TRAPPIST-1.
¿Qué magnitud astronómica se mide con mayor precisión mediante la astrometría del satélite Gaia?,La posición exacta de las estrellas para detectar oscilaciones por interacción gravitatoria.
¿Cómo afecta un período orbital más corto a la representación de una curva de luz de tránsito?,Produce curvas más estrechas que aparecen con mayor frecuencia en el gráfico.
¿Cuál es la relación entre el área del disco planetario y la caída de intensidad lumínica en un tránsito?,La caída es directamente proporcional a la fracción del disco solar que el planeta eclipsa.
"En el contexto de detección de exoplanetas, ¿qué es una 'super-Tierra'?",Un planeta con una masa superior a la de la Tierra pero inferior a la de los gigantes gaseosos.
¿Qué ventaja ofrece observar exoplanetas en longitudes de onda infrarrojas en lugar de visibles?,Permite detectar la emisión de calor propia del planeta y reduce el contraste con la estrella.
¿Qué limitación principal tiene el método de imagen directa?,Se limita a observar planetas que están muy distantes de su estrella anfitriona.
La técnica de detección que utiliza el campo gravitatorio de una estrella para enfocar la luz de otra más lejana se llama _____.,Microlente gravitatoria.
¿Cuál es el radio aproximado de la estrella Proxima Centauri?,$107.000$ km.
¿Qué unidad de medida se utiliza comúnmente para registrar la intensidad de luz en experimentos de tránsito con sensores?,Lux ($lx$).
¿Por qué las enanas marrones emiten luz propia si no realizan fusión nuclear?,Debido al calor residual generado durante su formación.
¿Qué instrumento se requiere para bloquear el brillo de una estrella y observar sus planetas directamente?,Un coronógrafo (o instrumento de enmascaramiento).
"Según la escala galáctica, si la Vía Láctea fuera la distancia de Madrid a Tokio ($10.000$ km), ¿a qué distancia estaría Neptuno del Sol?",$5$ cm.
¿Qué tipo de nubes se espera encontrar en exoplanetas potencialmente habitables en el futuro?,Nubes de agua líquida.
¿Qué misión de la NASA proporcionó en 2013 la estimación de $40$ mil millones de planetas en zonas habitables?,La nave espacial Kepler.
¿Cuál es el valor aproximado de un año luz en kilómetros?,"$9,5$ billones de kilómetros."
"¿Qué gas tóxico, además del monóxido de carbono, se arremolina en las enanas marrones según el reporte Webb?",Metano.
¿A qué velocidad rotacional gira la menor de las dos enanas marrones a seis años luz de distancia?,Cinco horas.
Las enanas marrones que se encuentran en sistemas binarios suelen compartir la misma _____ que su estrella compañera.,Química atmosférica.
¿Cuál es el objetivo principal de la red de formación RoPACS?,Descubrir y estudiar planetas extrasolares que orbitan estrellas frías.
¿Qué telescopio de rastreo en Chile contribuyó al descubrimiento de la enana marrón superfría BD+01 2920B?,Telescopio VISTA.
"En el modelado de tránsitos, ¿qué representa la variable independiente en el gráfico de curva de luz?",El tiempo.
¿Cómo se define la caída de brillo ($\Delta$ brillo) en una curva de luz de tránsito?,La diferencia entre el flujo máximo de la estrella y el flujo mínimo durante el eclipse.
¿Qué factor causa el 'bamboleo' de una estrella en un sistema planetario?,La atracción gravitatoria del planeta que la orbita.
La masa del Sol es aproximadamente _____ veces mayor que la de Júpiter.,1.000 veces.
¿Qué estructura atmosférica similar a Júpiter se cree que poseen las enanas marrones debido a su rápida rotación?,Bandas y vórtices (como la Gran Mancha Roja).
"Para detectar exoplanetas mediante el método Doppler, se analizan los cambios en las _____ de la estrella.",Líneas espectrales.
¿Qué satélite infrarrojo fue clave para identificar objetos ultrafríos cercanos como las enanas marrones?,Satélite WISE (Explorador Infrarrojo de Campo Amplio).
¿Cuál es la masa estimada de Proxima Centauri b en relación con la Tierra?,"1,3 veces la masa de la Tierra."
"En el Sistema Solar, ¿qué planetas pueden transitar frente al Sol vistos desde la Tierra?",Mercurio y Venus.
¿Cuál es la edad estimada de formación de las dos enanas marrones examinadas por el Webb?,500 millones de años.
¿Por qué el método de tránsito favorece la detección de planetas cercanos a su estrella?,Tienen una mayor probabilidad geométrica de cruzar la línea de visión del observador.
Concepto: Microlente gravitatoria,"Uso de la gravedad de una estrella/planeta para doblar y enfocar la luz de un cuerpo más distante, haciéndolo parecer más brillante."
¿Qué información sobre la atmósfera planetaria se puede inferir mediante el método de tránsito?,La composición química mediante el análisis de la luz filtrada a través de los bordes del planeta.
¿Qué ventaja tiene el uso de aplicaciones de 'data-logging' en experimentos de física astronómica?,Permiten grabar datos de sensores continuamente y exportarlos para análisis matemático.
¿Qué ocurre con el brillo detectado de una estrella si el planeta en tránsito es de mayor tamaño?,La disminución o caída en el nivel de luz es más acusada.
¿Cuál es la masa de las enanas marrones estudiadas por Webb en comparación con Júpiter?,Una es 35 veces más masiva y la otra 30 veces más.
¿Cómo afecta la distancia entre el planeta y el detector a la probabilidad de detectar un tránsito real?,"Es irrelevante, ya que la distancia interestelar siempre es inmensamente mayor que la órbita planetaria."
Las estrellas se cohesionan por su propia _____.,Atracción gravitatoria.
¿Qué diferencia hay entre la formación de planetas y enanas marrones según el material original?,"Los planetas se forman del disco residual, mientras que las enanas marrones del colapso directo de la nube molecular."
Menciona dos misiones espaciales que permitieron el gran avance en la cantidad de exoplanetas descubiertos antes de 2020.,CoRoT y Kepler.
¿Qué limitación tiene el método de tránsito respecto al tiempo de observación?,"Requiere observar varios tránsitos para confirmar el periodo, lo que puede tomar años en órbitas largas."
¿Qué tipo de instrumentos terrestres se utilizan para detectar planetas por velocidad radial?,Espectrógrafos de alta precisión (como HARPS o CARMENES).
¿Qué componente químico en las enanas marrones se compara con las brasas de un fuego?,El puro calor que las hace brillar en color rojo.
¿A qué distancia se encuentra BD+01 2920B de su estrella anfitriona?,390.000 millones de kilómetros (2.600 veces la distancia Tierra-Sol).
Las lunas Encelado y Europa son candidatas para buscar vida en el Sistema Solar debido a la presencia de _____.,Agua.
"En el experimento del 'exoplaneta en una caja', ¿cuál es el propósito de pintar el interior de negro?",Minimizar los reflejos de luz que podrían causar incertidumbres en las mediciones del sensor.
¿Qué magnitud representa el eje vertical (ordenadas) en una curva de luz de tránsito?,Brillo relativo o luminosidad (Lux).
¿Cuál es el radio aproximado de la estrella Alfa Centauri?,$835.000$ km.
El método de tránsito permite determinar dos propiedades físicas fundamentales del planeta: _____ y _____.,El tamaño (radio) y el periodo orbital.
¿Por qué es necesario observar más de un tránsito para determinar el periodo orbital?,Para verificar la periodicidad y descartar otros eventos de oscurecimiento aleatorios.
¿Qué sesgo introducen los instrumentos actuales en la distribución global de exoplanetas conocidos?,Favorecen la detección de planetas grandes con periodos cortos cerca de estrellas pequeñas.
¿En qué longitud de onda es más probable observar la luz propia de una enana marrón?,Longitud de onda infrarroja.
